month,listing_url,report_url,report_title,file_url,local_path,download_status,parse_status,rows_total,sheets_total,csv_files_total,error_message
2026_01,https://cbu.uz/en/statistics/bankstats/?arFilter_DATE_ACTIVE_FROM_1=&arFilter_DATE_ACTIVE_FROM_2=&arFilter_ff%5BSECTION_ID%5D=3497&year=2026&month=01&set_filter=&set_filter=Y,,,,,failed,failed,0,0,0,listing_open_error: <urlopen error Tunnel connection failed: 403 Forbidden>
2026_02,https://cbu.uz/en/statistics/bankstats/?arFilter_DATE_ACTIVE_FROM_1=&arFilter_DATE_ACTIVE_FROM_2=&arFilter_ff%5BSECTION_ID%5D=3497&year=2026&month=02&set_filter=&set_filter=Y,,,,,failed,failed,0,0,0,listing_open_error: <urlopen error Tunnel connection failed: 403 Forbidden>
2026_03,https://cbu.uz/en/statistics/bankstats/?arFilter_DATE_ACTIVE_FROM_1=&arFilter_DATE_ACTIVE_FROM_2=&arFilter_ff%5BSECTION_ID%5D=3497&year=2026&month=03&set_filter=&set_filter=Y,,,,,failed,failed,0,0,0,listing_open_error: <urlopen error Tunnel connection failed: 403 Forbidden>
2026_04,https://cbu.uz/en/statistics/bankstats/?arFilter_DATE_ACTIVE_FROM_1=&arFilter_DATE_ACTIVE_FROM_2=&arFilter_ff%5BSECTION_ID%5D=3497&year=2026&month=04&set_filter=&set_filter=Y,,,,,failed,failed,0,0,0,listing_open_error: <urlopen error Tunnel connection failed: 403 Forbidden>
