period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,raw_table_preserved,9,7,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,raw_table_flat,10,7,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71458_html_fallback.xlsx,7427,metadata,8,2,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,12612,raw_table_preserved,33,14,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,12612,raw_table_flat,34,14,ok,
2018_01,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71459_html_fallback.xlsx,12612,metadata,8,2,ok,
2018_01,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,6850,raw_table_preserved,7,3,ok,
2018_01,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,6850,raw_table_flat,8,3,ok,
2018_01,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71453_html_fallback.xlsx,6850,metadata,8,2,ok,
2018_01,main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_01\main_performance_indicators_of_commercial_banks_grouped_in_terms_of_asset_size_the_central_bank_of_the_republic_of_uzbek_71446_html_fallback.xlsx,9362,raw_table_preserved,21,11,ok,
